iast	slp1	pos	n	gloss_idx	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
abhihṛ	aBihf	VERB	5	2	принесут	flag	inflected,unknown	принести		принести:V:-:-			
abhija	aBija	noun	4	1	рождается	flag	inflected,unknown	рождаться		рождаться:V:-:-			
abhija	aBija	noun	4	2	порождается	flag	inflected,unknown	порождаться		порождаться:V:-:-			
abhijan	aBijan	VERB	95	1	рождается	flag	inflected,unknown	рождаться		рождаться:V:-:-			
abhijan	aBijan	VERB	95	2	рожден	flag	inflected,unknown	рождённый		родить:V:-:-			
abhijan	aBijan	VERB	95	3	родился	flag	inflected	родиться	3	родиться:V:3:99.42			
abhijana	aBijana	NOUN	22	1	людей	flag	inflected	человек	5	человек:S:5:2888.63			
abhijana	aBijana	NOUN	22	3	происхождением	flag	inflected,unknown	происхождение		происхождение:S:-:-			
abhijanavat	aBijanavat	ADJ	14	1	знатен	flag	inflected,unknown	знатный		знатный:A:-:-			
abhiji	aBiji	noun	4	1	покорении	flag	inflected,unknown	покорение		покорение:S:-:-			
abhiji	aBiji	noun	4	2	покорены	flag	inflected,unknown	покорённый		покорить:V:-:-			
abhijña	aBijYa	ADJ	6	1	искусен	flag	inflected	искусный	3	искусный:A:3:12.86			
abhijña	aBijYa	ADJ	6	3	сведущ	flag	inflected,unknown	сведущий		сведущий:A:-:-			
abhijñu	aBijYu	ADV	6	2	коленопреклоненно	flag	inflected,unknown	коленопреклонённый		коленопреклонённый:A:-:-			
abhijñā	aBijYA	VERB	128	1	знаю	flag	inflected	знать	5	знать:V:5:1740.03			
abhijñā	aBijYA	VERB	128	2	знает	flag	inflected	знать	5	знать:V:5:1740.03			
abhijñā	aBijYA	VERB	128	3	познает	flag	inflected_ambiguous,unknown			познать:V:-:-			
abhikalpi	aBikalpi	noun	2	1	образован	flag	inflected_ambiguous,unknown			образовать:V:-:-			
abhikhyā	aBiKyA	NOUN	12	3	взглядом	flag	inflected,unknown	взгляд		взгляд:S:-:-			
abhikhyāpay	aBiKyApay	VERB	2	1	объявив	flag	inflected,unknown	объявить		объявить:V:-:-			
abhikhyāpay	aBiKyApay	VERB	2	2	обнародовав	flag	inflected,unknown	обнародовать		обнародовать:V:-:-			
abhikram	aBikram	VERB	23	1	прошел	flag	inflected,unknown	пройти		пройти:V:-:-			
abhikram	aBikram	VERB	23	2	пошла	flag	inflected_ambiguous,unknown			пойти:V:-:-			
abhikram	aBikram	VERB	23	3	встретили	flag	inflected,unknown	встретить		встретить:V:-:-			
abhikrand	aBikrand	VERB	6	1	Прореви	flag	inflected,unknown	прореветь		прореветь:V:-:-			
abhikrand	aBikrand	VERB	6	3	зарычал	flag	inflected,unknown	зарычать		зарычать:V:-:-			
abhikrudh	aBikruD	VERB	20	1	разгневанного	flag	inflected,unknown	разгневанный		разгневать:V:-:-			
abhikruś	aBikruS	VERB	4	2	возгласами	flag	inflected,unknown	возглас		возглас:S:-:-			
abhikāma	aBikAma	ADJ	6	1	стремятся	flag	inflected,unknown	стремиться		стремиться:V:-:-			
abhikāmay	aBikAmay	VERB	6	1	хочу	flag	inflected,unknown	хотеть		хотеть:V:-:-			
abhikāmay	aBikAmay	VERB	6	2	желаю	flag	inflected	желать	4	желать:V:4:213.33			
abhikāmay	aBikAmay	VERB	6	3	дорожу	flag	inflected,unknown	дорожить		дорожить:V:-:-			
abhikāmi	aBikAmi	noun	11	1	влюблена	flag	inflected,unknown	влюблённый		влюбить:V:-:-			
abhikāmi	aBikAmi	noun	11	2	стремится	flag	inflected,unknown	стремиться		стремиться:V:-:-			
abhikāṅkṣ	aBikANkz	VERB	23	1	желаешь	flag	inflected	желать	4	желать:V:4:213.33			
abhikāṅkṣ	aBikANkz	VERB	23	2	люблю	flag	inflected,unknown	любить		любить:V:-:-			
abhikāṅkṣ	aBikANkz	VERB	23	3	желанной	flag	inflected,unknown	желанный		желанный:A:-:-			
abhikṛ	aBikf	VERB	4	1	наслали	flag	inflected,unknown	наслать		наслать:V:-:-			
abhikṛ	aBikf	VERB	4	2	кружились	flag	inflected,unknown	кружиться		кружиться:V:-:-			
abhikṛ	aBikf	VERB	4	3	рассеивались	flag	inflected,unknown	рассеиваться		рассеиваться:V:-:-			
abhikṛp	aBikfp	noun	2	1	постигнут	flag	inflected,unknown	постичь		постичь:V:-:-			
abhikṛt	aBikft	VERB	2	1	уязвляешь	flag	inflected,unknown	уязвлять		уязвлять:V:-:-			
abhikṛtvarī	aBikftvarI	NOUN	2	1	колдуний	flag	inflected,unknown	колдунья		колдунья:S:-:-			
abhikṣar	aBikzar	VERB	6	1	приближаются	flag	inflected,unknown	приближаться		приближаться:V:-:-			
abhikṣar	aBikzar	VERB	6	2	окропят	flag	inflected,unknown	окропить		окропить:V:-:-			
abhikṣar	aBikzar	VERB	6	3	текут	flag	inflected,unknown	течь		течь:V:-:-			
abhikṣattṛ	aBikzattf	NOUN	2	1	потчует	flag	inflected,unknown	потчевать		потчевать:V:-:-			
abhikṣattṛ	aBikzattf	NOUN	2	2	потчующего	flag	inflected,unknown	потчующий		потчевать:V:-:-			
abhikṣip	aBikzip	VERB	2	1	забросил	flag	inflected,unknown	забросить		забросить:V:-:-			
abhikṣip	aBikzip	VERB	2	2	нахлестывая	flag	inflected,unknown	нахлёстывать		нахлёстывать:V:-:-			
abhilakṣay	aBilakzay	VERB	5	2	узнал	flag	inflected,unknown	узнать		узнать:V:-:-			
abhilakṣay	aBilakzay	VERB	5	3	нацеленных	flag	inflected,unknown	нацеленный		нацелить:V:-:-			
abhilakṣi	aBilakzi	verb	2	1	обозначены	flag	inflected,unknown	обозначенный		обозначить:V:-:-			
abhilaṣ	aBilaz	VERB	12	1	стремятся	flag	inflected,unknown	стремиться		стремиться:V:-:-			
abhilaṣita	aBilazita	NOUN	2	1	желаешь	flag	inflected	желать	4	желать:V:4:213.33			
abhilaṣita	aBilazita	NOUN	2	2	желанен	flag	inflected,unknown	желанный		желанный:A:-:-			
abhilāṣa	aBilAza	NOUN	7	3	замыслах	flag	inflected,unknown	замысел		замысел:S:-:-			
abhiman	aBiman	VERB	65	1	считают	flag	inflected,unknown	считать		считать:V:-:-			
abhiman	aBiman	VERB	65	2	желанной	flag	inflected,unknown	желанный		желанный:A:-:-			
abhimanth	aBimanT	VERB	6	1	добывается	flag	inflected,unknown	добываться		добываться:V:-:-			
abhimanth	aBimanT	VERB	6	3	потер	flag	inflected,unknown	потереть		потереть:V:-:-			
abhimantray	aBimantray	VERB	17	1	освятив	flag	inflected,unknown	освятить		освятить:V:-:-			
abhimardana	aBimardana	ADJ	2	1	опасную	flag	inflected,unknown	опасный		опасный:A:-:-			
abhimarśana	aBimarSana	NOUN	7	2	тянут	flag	inflected_ambiguous,unknown			тянутый:A:-:-			
abhimarśi	aBimarSi	noun	2	1	домогающихся	flag	inflected,unknown	домогающийся		домогаться:V:-:-			
abhimarśi	aBimarSi	noun	2	2	захвачены	flag	inflected,unknown	захваченный		захватить:V:-:-			
abhimukha	aBimuKa	ADJ	130	3	направился	flag	inflected,unknown	направиться		направиться:V:-:-			
abhimānin	aBimAnin	ADJ	2	2	горделивы	flag	inflected,unknown	горделивый		горделивый:A:-:-			
abhimṛś	aBimfS	VERB	10	1	коснется	flag	inflected,unknown	коснуться		коснуться:V:-:-			
abhimṛś	aBimfS	VERB	10	2	коснувшись	flag	inflected,unknown	коснуться		коснуться:V:-:-			
abhimṛś	aBimfS	VERB	10	3	вторгается	flag	inflected,unknown	вторгаться		вторгаться:V:-:-			
abhinad	aBinad	noun	2	1	оглашаемую	flag	inflected,unknown	оглашаемый		оглашать:V:-:-			
abhinakṣ	aBinakz	VERB	3	1	Приближаясь	flag	inflected,unknown	приближаться		приближаться:V:-:-			
abhinam	aBinam	verb	3	1	преклонил	flag	inflected,unknown	преклонить		преклонить:V:-:-			
abhinand	aBinand	VERB	99	1	приветствовал	flag	inflected,unknown	приветствовать		приветствовать:V:-:-			
abhinand	aBinand	VERB	99	2	приветствовали	flag	inflected,unknown	приветствовать		приветствовать:V:-:-			
abhinand	aBinand	VERB	99	3	радуется	flag	inflected,unknown	радоваться		радоваться:V:-:-			
abhinard	aBinard	VERB	2	1	заревел	flag	inflected,unknown	зареветь		зареветь:V:-:-			
abhinard	aBinard	VERB	2	2	рычишь	flag	inflected,unknown	рычать		рычать:V:-:-			
abhinava	aBinava	ADJ	8	3	свежими	flag	inflected,unknown	свежий		свежий:A:-:-			
abhinihan	aBinihan	VERB	4	1	ударили	flag	inflected,unknown	ударить		ударить:V:-:-			
abhinihan	aBinihan	VERB	4	2	убивая	flag	inflected,unknown	убивать		убивать:V:-:-			
abhinimantray	aBinimantray	VERB	2	1	пригласила	flag	inflected,unknown	пригласить		пригласить:V:-:-			
abhinimantray	aBinimantray	VERB	2	2	пригласив	flag	inflected,unknown	пригласить		пригласить:V:-:-			
abhinipīḍay	aBinipIqay	VERB	2	1	зашибленного	flag	inflected,unknown	зашибленный		зашибить:V:-:-			
abhinirvarti	aBinirvarti	noun	2	1	завершенной	flag	inflected,unknown	завершённый		завершить:V:-:-			
abhinirvarti	aBinirvarti	noun	2	2	достигается	flag	inflected,unknown	достигаться		достигаться:V:-:-			
abhinirvṛt	aBinirvft	VERB	6	1	завершено	flag	inflected,unknown	завершённый		завершить:V:-:-			
abhinirvṛt	aBinirvft	VERB	6	2	завершена	flag	inflected,unknown	завершённый		завершить:V:-:-			
abhiniryā	aBiniryA	VERB	2	1	отправилась	flag	inflected,unknown	отправиться		отправиться:V:-:-			
abhiniviś	aBiniviS	VERB	3	1	гонится	flag	inflected,unknown	гнаться		гнаться:V:-:-			
abhiniviś	aBiniviS	VERB	3	3	поднимается	flag	inflected,unknown	подниматься		подниматься:V:-:-			
abhiniḥsṛ	aBiniHsf	VERB	3	1	ведет	flag	inflected,unknown	вести		вести:V:-:-			
abhiniḥsṛ	aBiniHsf	VERB	3	2	явился	flag	inflected,unknown	явиться		явиться:V:-:-			
abhiniḥśvas	aBiniHSvas	VERB	3	1	вздохнув	flag	inflected,unknown	вздохнуть		вздохнуть:V:-:-			
abhiniḥśvas	aBiniHSvas	VERB	3	2	вздыхая	flag	inflected,unknown	вздыхать		вздыхать:V:-:-			
abhiniṣkram	aBinizkram	VERB	4	1	выйдя	flag	inflected,unknown	выйти		выйти:V:-:-			
abhiniṣkram	aBinizkram	VERB	4	3	выступили	flag	inflected,unknown	выступить		выступить:V:-:-			
abhiniṣpad	aBinizpad	VERB	6	1	появляется	flag	inflected,unknown	появляться		появляться:V:-:-			
abhiniṣpad	aBinizpad	VERB	6	2	принимают	flag	inflected,unknown	принимать		принимать:V:-:-			
abhiniṣpat	aBinizpat	noun	3	1	попадают	flag	inflected,unknown	попадать		попадать:V:-:-			
abhiniṣpat	aBinizpat	noun	3	2	налетев	flag	inflected,unknown	налететь		налететь:V:-:-			
abhinna	aBinna	ADJ	8	1	неурезанном	flag	inflected,unknown	неурезанный		неурезанный:A:-:-			
abhinna	aBinna	ADJ	8	3	неделим	flag	inflected,unknown	неделимый		неделимый:A:-:-			
abhinnatva	aBinnatva	noun	3	1	неразделенности	flag	inflected,unknown	неразделённость		неразделённость:S:-:-			
abhinnatva	aBinnatva	noun	3	3	тождестве	flag	inflected,unknown	тождество		тождество:S:-:-			
abhināday	aBinAday	VERB	2	1	грохоча	flag	inflected,unknown	грохотать		грохотать:V:-:-			
abhināday	aBinAday	VERB	2	2	оглашаемую	flag	inflected,unknown	оглашаемый		оглашать:V:-:-			
abhinī	aBinI	VERB	6	2	положив	flag	inflected,unknown	положить		положить:V:-:-			
abhinī	aBinI	VERB	6	3	возложена	flag	inflected,unknown	возложенный		возложить:V:-:-			
abhinū	aBinU	VERB	5	2	приветствовали	flag	inflected,unknown	приветствовать		приветствовать:V:-:-			
abhipad	aBipad	VERB	55	1	подвержено	flag	inflected,unknown	подверженный		подверженный:A:-:-			
abhipad	aBipad	VERB	55	3	приходит	flag	inflected,unknown	приходить		приходить:V:-:-			
abhipadma	aBipadma	ADJ	2	2	великолепнейших	flag	inflected,unknown	великолепный		великолепный:A:-:-			
abhipariplu	aBipariplu	noun	16	2	преисполнился	flag	inflected,unknown	преисполниться		преисполниться:V:-:-			
abhiparī	aBiparI	VERB	6	1	уговаривал	flag	inflected,unknown	уговаривать		уговаривать:V:-:-			
abhiparī	aBiparI	VERB	6	3	окружены	flag	inflected,unknown	окружённый		окружить:V:-:-			
abhipat	aBipat	VERB	86	1	бросился	flag	inflected,unknown	броситься		броситься:V:-:-			
abhipat	aBipat	VERB	86	2	обрушился	flag	inflected,unknown	обрушиться		обрушиться:V:-:-			
abhipat	aBipat	VERB	86	3	ринулся	flag	inflected,unknown	ринуться		ринуться:V:-:-			
abhipaś	aBipaS	VERB	2	1	озирая	flag	inflected,unknown	озирать		озирать:V:-:-			
abhipaś	aBipaS	VERB	2	2	прозревают	flag	inflected,unknown	прозревать		прозревать:V:-:-			
abhipitva	aBipitva	NOUN	16	3	задержится	flag	inflected,unknown	задержаться		задержаться:V:-:-			
abhiplu	aBiplu	VERB	9	1	преисполненная	flag	inflected_ambiguous,unknown			преисполненный:A:-:-			
abhiplu	aBiplu	VERB	9	2	покрытой	flag	inflected,unknown	покрытый		покрыть:V:-:-			
abhipracoday	aBipracoday	VERB	3	3	решилась	flag	inflected,unknown	решиться		решиться:V:-:-			
abhipragai	aBipragE	VERB	4	1	воспойте	flag	inflected,unknown	воспеть		воспеть:V:-:-			
abhipragai	aBipragE	VERB	4	3	воспевайте	flag	inflected,unknown	воспевать		воспевать:V:-:-			
abhiprapad	aBiprapad	noun	8	1	устремленным	flag	inflected,unknown	устремлённый		устремить:V:-:-			
abhiprapad	aBiprapad	noun	8	2	наделен	flag	inflected_ambiguous,unknown			надельный:A:-:-			
abhiprapad	aBiprapad	noun	8	3	забравшись	flag	inflected,unknown	забраться		забраться:V:-:-			
abhiprasthāpay	aBiprasTApay	VERB	3	1	погнал	flag	inflected,unknown	погнать		погнать:V:-:-			
abhiprasthāpay	aBiprasTApay	VERB	3	2	погоняя	flag	inflected,unknown	погонять		погонять:V:-:-			
abhiprasāday	aBiprasAday	VERB	4	3	утешил	flag	inflected,unknown	утешить		утешить:V:-:-			
abhipravṛt	aBipravft	VERB	18	2	предназначены	flag	inflected,unknown	предназначенный		предназначить:V:-:-			
abhiprayā	aBiprayA	VERB	9	1	захотела	flag	inflected,unknown	захотеть		захотеть:V:-:-			
abhiprayā	aBiprayA	VERB	9	2	выступаю	flag	inflected,unknown	выступать		выступать:V:-:-			
abhiprayā	aBiprayA	VERB	9	3	пойду	flag	inflected,unknown	пойти		пойти:V:-:-			
abhipraśaṃs	aBipraSaMs	VERB	3	1	славил	flag	inflected,unknown	славить		славить:V:-:-			
abhipraśaṃs	aBipraSaMs	VERB	3	2	восславил	flag	inflected,unknown	восславить		восславить:V:-:-			
abhipraśaṃs	aBipraSaMs	VERB	3	3	прославлявшему	flag	inflected,unknown	прославлявший		прославлять:V:-:-			
abhipraṇam	aBipraRam	VERB	9	1	склонив	flag	inflected,unknown	склонить		склонить:V:-:-			
abhipraṇam	aBipraRam	VERB	9	2	поклонившись	flag	inflected,unknown	поклониться		поклониться:V:-:-			
abhipraṇam	aBipraRam	VERB	9	3	склонился	flag	inflected,unknown	склониться		склониться:V:-:-			
abhipre	aBipre	VERB	25	3	задумала	flag	inflected,unknown	задумать		задумать:V:-:-			
abhiprekṣ	aBiprekz	VERB	56	1	увидев	flag	inflected	увидеть	4	увидеть:V:4:448.26			
abhiprekṣ	aBiprekz	VERB	56	2	видя	flag	inflected,unknown	видеть		видеть:V:-:-			
abhiprekṣ	aBiprekz	VERB	56	3	завидев	flag	inflected,unknown	завидеть		завидеть:V:-:-			
abhiprāṇ	aBiprAR	VERB	2	1	вдыхая	flag	inflected,unknown	вдыхать		вдыхать:V:-:-			
abhipā	aBipA	VERB	4	1	надзирал	flag	inflected,unknown	надзирать		надзирать:V:-:-			
abhipā	aBipA	VERB	4	2	охраняет	flag	inflected,unknown	охранять		охранять:V:-:-			
abhipā	aBipA	VERB	4	3	следит	flag	inflected,unknown	следить		следить:V:-:-			
abhipīḍay	aBipIqay	VERB	13	2	Прижавшись	flag	inflected,unknown	прижаться		прижаться:V:-:-			
abhipīḍay	aBipIqay	VERB	13	3	терзалась	flag	inflected,unknown	терзаться		терзаться:V:-:-			
abhipīḍita	aBipIqita	noun	6	1	терзаясь	flag	inflected,unknown	терзаться		терзаться:V:-:-			
abhipīḍita	aBipIqita	noun	6	3	терзала	flag	inflected,unknown	терзать		терзать:V:-:-			
abhipūjay	aBipUjay	VERB	55	1	одобрили	flag	inflected,unknown	одобрить		одобрить:V:-:-			
abhipūjay	aBipUjay	VERB	55	3	приветствовали	flag	inflected,unknown	приветствовать		приветствовать:V:-:-			
abhipūray	aBipUray	VERB	2	1	заливая	flag	inflected,unknown	заливать		заливать:V:-:-			
abhipūray	aBipUray	VERB	2	2	излил	flag	inflected,unknown	излить		излить:V:-:-			
abhirakṣ	aBirakz	VERB	82	2	охранял	flag	inflected,unknown	охранять		охранять:V:-:-			
abhirakṣ	aBirakz	VERB	82	3	охраняют	flag	inflected,unknown	охранять		охранять:V:-:-			
abhirocay	aBirocay	VERB	6	1	Предстоит	flag	inflected,unknown	предстоять		предстоять:V:-:-			
abhirocay	aBirocay	VERB	6	2	одобряя	flag	inflected,unknown	одобрять		одобрять:V:-:-			
abhirocay	aBirocay	VERB	6	3	хочешь	flag	inflected,unknown	хотеть		хотеть:V:-:-			
abhiruh	aBiruh	VERB	2	1	Сел	flag	inflected_ambiguous,unknown			сесть:V:-:-			
abhiruh	aBiruh	VERB	2	2	взошел	flag	inflected,unknown	взойти		взойти:V:-:-			
abhirādhana	aBirADana	NOUN	2	1	заботу	flag	inflected,unknown	забота		забота:S:-:-			
abhirādhana	aBirADana	NOUN	2	2	ублажай	flag	inflected,unknown	ублажать		ублажать:V:-:-			
abhirāma	aBirAma	ADJ	15	1	прекрасного	flag	inflected	прекрасный	4	прекрасный:A:4:204.71			
