level	col_a	gloss_ru	status	flags	gloss_lemma	min_band	nkrya_tokens	synonym_proposal	synonym_ipm	synonym_band
level_01	осн.	основа	flag	unknown			основа:S:-:-			
level_01	о.н.в.	основа настоящего времени	flag	phrase,unknown			основа:S:-:- настоящий:A:-:- время:S:-:-			
level_02	ka	кто, который?	flag	phrase,unknown			который:A:-:-			
level_02	kha	(n) воздушное пространство, небо	flag	phrase,unknown			воздушный:A:-:- пространство:S:-:- небо:S:-:-			
level_02	°ga	идущий	flag	unknown			идти:V:-:-			
level_02	ca	и	ok							
level_02	°ja	рожденный	flag	unknown			родить:V:-:-			
level_02	ta	тот	flag	unknown			тот:A:-:-			
level_02	°da	дающий	flag	unknown			давать:V:-:-			
level_02	na	не	ok							
level_02	°pa	пьющий	flag	unknown			пьющий:A:-:-			
level_02	bha	(n) звезда, созвездие	flag	phrase,unknown			звезда:S:-:- созвездие:S:-:-			
level_02	kaṭa	(m) циновка	flag	phrase,unknown			циновка:S:-:-			
level_02	dama	(m,n) дом, жилище	flag	phrase,unknown			дом:S:-:- жилище:S:-:-			
level_02	kaja	(n) цветок лотоса	flag	phrase,unknown			цветок:S:-:- лотос:S:-:-			
level_02	dhana	(n) богатство, деньги	flag	phrase,unknown			богатство:S:-:- деньга:S:-:-			
level_02	khana	(m) яма	flag	phrase,unknown			яма:S:-:-			
level_02	nakha	(m, n) ноготь	flag	phrase,unknown			ноготь:S:-:-			
level_02	gaja	(m) слон	flag	phrase,unknown			слон:S:-:-			
level_02	pada	(n) шаг, нога	flag	phrase,unknown			шаг:S:-:- нога:S:-:-			
level_02	gaṇa	(m) множество	flag	phrase,unknown			множество:S:-:-			
level_02	patha	путь	flag	unknown			путь:S:-:-			
level_02	gata	идущий	flag	unknown			идти:V:-:-			
level_02	bhaga	(m) счастье	ok	phrase		3	счастие:S:3:29.48			
level_02	jana	(m) человек	ok	phrase		5	человек:S:5:2888.63			
level_02	mama	мой, меня	flag	phrase,unknown			мой:A:-:-			
level_02	tana	(n) дитя	flag	phrase,unknown			дитя:S:-:-			
level_02	kanaka	(n) золото	flag	phrase,unknown			золото:S:-:-			
level_02	kanatha	вы довольны	flag	phrase,unknown			довольный:A:-:-			
level_02	katama	который из многих?	flag	phrase,unknown			который:A:-:- многий:A:-:-			
level_02	patatha	вы падаете	flag	phrase,unknown			падать:V:-:-			
level_02	caṭaka	(m) воробей	flag	phrase,unknown			воробей:S:-:-			
level_02	gadatha	вы говорите	flag	phrase,unknown			говорить:V:-:-			
level_02	dhanada	щедрый	flag	unknown			щедрый:A:-:-			
level_02	gachatha	вы идете	flag	phrase,unknown			идти:V:-:-			
level_02	janana	(n) создание, творение	flag	phrase,unknown			создание:S:-:- творение:S:-:-			
level_02	janaka	(m) создатель, творец	flag	phrase,unknown			создатель:S:-:- творец:S:-:-			
level_02	kathana	(n) рассказывание	flag	phrase,unknown			рассказывание:S:-:-			
level_02	kathaka	(m) рассказчик	flag	phrase,unknown			рассказчик:S:-:-			
level_02	naṭana	(n) танец	flag	phrase,unknown			танец:S:-:-			
level_02	gaṇana	(n) счет	flag	phrase,unknown			счёт:S:-:-			
level_02	naṭaka	(m) танцор, актер	flag	phrase,unknown			танцор:S:-:- актёр:S:-:-			
level_02	gaṇaka	(m) математик	flag	phrase,unknown			математик:S:-:-			
level_03	°ra	помогающий, способствующий	flag	phrase,unknown			помогать:V:-:- способствовать:V:-:-			
level_03	ya	который	flag	unknown			который:A:-:-			
level_03	sa	этот, он	flag	phrase,unknown			этот:A:-:-			
level_03	ha	ведь, же	ok	phrase						
level_03	kara	(m) рука, делающий	flag	phrase,unknown		5	рука:S:5:1367.37 делать:V:-:-			
level_03	cara	движущийся	flag	unknown			двигаться:V:-:-			
level_03	bala	(n) сила, могущество	flag	phrase,unknown		4	сила:S:4:706.05 могущество:S:-:-			
level_03	jala	(n) вода	ok	phrase		4	вода:S:4:573.16			
level_03	bhava	(m) происхождение, существо	flag	phrase,unknown			происхождение:S:-:- существо:S:-:-			
level_03	tala	(n) плоскость, ладонь	flag	phrase,unknown			плоскость:S:-:- ладонь:S:-:-			
level_03	ratha	(m) колесница	flag	phrase,unknown			колесница:S:-:-			
level_03	dama	(m) дом, жилище	flag	phrase,unknown			дом:S:-:- жилище:S:-:-			
level_03	vana	(n) лес	flag	phrase,unknown			лес:S:-:-			
level_03	nava	новый, девять	flag	phrase,unknown			новый:A:-:-			
level_03	vara	отборный, лучший	flag	phrase,unknown		4	отборный:A:-:- хороший:A:4:555.39			
level_03	varam	выбор, дар	flag	phrase,unknown			выбор:S:-:- дар:S:-:-			
level_03	daśa	десять	ok							
level_03	śatam	сотня, сто	flag	phrase,unknown			сотня:S:-:-			
level_03	nara	(m) человек, герой	flag	phrase,unknown		5	человек:S:5:2888.63 герой:S:-:-			
level_03	śаrá	(m) стрела	flag	phrase,unknown			стрела:S:-:-			
level_03	para	другой, дальнейший	flag	phrase,unknown		5	другой:A:5:2034.50 дальнейший:A:-:-			
level_03	sama	одинаковый, ровный	flag	phrase,unknown			одинаковый:A:-:- ровный:A:-:-			
level_03	phalam	(n) плод	flag	phrase,unknown			плод:S:-:-			
level_03	katara	который из двух?	flag	phrase,unknown			который:A:-:-			
level_03	vacana	(n) слово, речь	flag	phrase,unknown			слово:S:-:- речь:S:-:-			
level_03	caṣaka	(m) сосуд, чашка	flag	phrase,unknown		3	сосуд:S:3:25.97 чашка:S:-:-			
level_03	śaraṇa	(n) прибежище, защита, покровительство	flag	phrase,unknown			прибежище:S:-:- защита:S:-:- покровительство:S:-:-			
level_03	caraṇa	(n) нога, выполнение	flag	phrase,unknown			нога:S:-:- выполнение:S:-:-			
level_03	parama	высший, лучший, очень	flag	phrase,unknown		4	высокий:A:-:- хороший:A:4:555.39 очень:ADV:-:-			
level_03	śatatama	сотый	flag	unknown			сотый:A:-:-			
level_03	bharata	"nom. pr. ""Бхарата"""	ok	name						
level_03	varayatha	вы выбираете	flag	phrase,unknown			выбирать:V:-:-			
level_03	karaṇīya	то, что должно быть сделано (завтра)	flag	phrase,unknown		3	должный:A:3:20.97 быть:V:6:12831.00 сделать:V:4:786.76 завтра:ADV:-:-			
level_04	kathā	(f) рассказ	flag	phrase,unknown			рассказ:S:-:-			
level_04	kāla	(m) время	flag	phrase,unknown			время:S:-:-			
level_04	jagāma	он пришел	ok	phrase		4	прийти:V:4:591.06			
level_04	tadā	тогда	flag	unknown			тогда:ADV:-:-			
level_04	yathā	как	ok							
level_04	hā	ай!	ok							
level_04	tathā	так	ok							
level_04	dāna	(n) щедрость, даяние	flag	phrase,unknown			щедрость:S:-:- даяние:S:-:-			
level_04	nārada	"(m) nom. pr. имя мудреца ""Нарада"""	flag	phrase,unknown,name			имя:S:-:- мудрец:S:-:-			
level_04	mahā	большой, великий	flag	phrase,unknown		4	большой:A:-:- великий:A:4:442.42			
level_04	sabhā	(f) зал собраний	flag	phrase,unknown			зал:S:-:- собрание:S:-:-			
level_04	mahābhārata	"(n) ""Махабхарата"",  древнеиндий эпос"	flag	phrase,name,unknown			древнеиндий:S:-:- эпос:S:-:-			
level_04	rāmāyaṇa	"(n) ""Рамаяна"", древнеиндий эпос"	flag	phrase,name,unknown			древнеиндий:S:-:- эпос:S:-:-			
level_04	hi	ибо, так как	ok	phrase						
level_04	kavi	(m) поэт	flag	phrase,unknown			поэт:S:-:-			
level_04	gati	(f) путь	flag	phrase,unknown			путь:S:-:-			
level_04	yadi	если	ok							
level_04	dina	(n) день	flag	phrase,unknown			день:S:-:-			
level_04	niyama	(m) обет	flag	phrase,unknown			обет:S:-:-			
level_04	pādābhivādana	(n) земной поклон	flag	phrase,unknown			земной:A:-:- поклон:S:-:-			
level_04	mahī	(f) земля	ok	phrase		4	земля:S:4:650.73			
level_04	pari	вокруг	ok							
level_04	sakhi	(m) друг	flag	phrase,unknown			друг:S:-:-			
level_04	samīpa	(n) близость	flag	phrase,unknown			близость:S:-:-			
level_04	śiva	(m) Шива (nom. pr. бога)	ok	phrase,name		4	бог:S:4:587.01			
level_04	pitāmaha	(m) дед	flag	phrase,unknown			дед:S:-:-			
level_04	tu	но	ok							
level_04	su	хорошо	flag	unknown			хорошо:ADV:-:-			
level_04	bhū	быть	ok			6	быть:V:6:12831.00			
level_04	kula	(n) род, семья	flag	phrase,unknown			род:S:-:- семья:S:-:-			
level_04	pura	(n) город	flag	phrase,unknown			город:S:-:-			
level_04	bhūmi	(f) земля	ok	phrase		4	земля:S:4:650.73			
level_04	sukha	(n) счастье	ok	phrase		3	счастие:S:3:29.48			
level_04	kar	делать	flag	unknown			делать:V:-:-			
level_04	kuru	сделай	flag	inflected	сделать	4	сделать:V:4:786.76			
level_04	suta	(m) сын	ok	phrase		4	сын:S:4:382.88			
level_04	sutā	(f) дочь	flag	phrase,unknown			дочь:S:-:-			
level_04	sūnu	(m) сын	ok	phrase		4	сын:S:4:382.88			
level_04	puruṣa	(m) человек; мужчина	flag	phrase,unknown		5	человек:S:5:2888.63 мужчина:S:-:-			
level_04	duḥkha	(n) несчастье	flag	phrase,unknown			несчастие:S:-:-			
level_04	ati	через, мимо	ok	phrase						
level_04	iti	так	ok							
level_04	ubha	оба	ok							
level_04	atha	итак	ok							
level_04	uvāca	он сказал	ok	phrase		5	сказать:V:5:2472.22			
level_04	api	тоже	ok							
level_04	iva	как	ok							
level_04	abhāva	(m) гибель, небытие	flag	phrase,unknown			гибель:S:-:- небытие:S:-:-			
level_04	āhāra	(m) еда	flag	phrase,unknown			еда:S:-:-			
level_04	udaka	(n) вода	ok	phrase		4	вода:S:4:573.16			
level_04	uṣas	(f) рассвет, утренняя заря, утро; nom. pr. богини	flag	phrase,unknown			рассвет:S:-:- утренний:A:-:- заря:S:-:- утро:S:-:- богиня:S:-:-			
level_04	as	быть	ok			6	быть:V:6:12831.00			
level_04	āsīt	он был	ok	phrase		6	быть:V:6:12831.00			
level_04	aham	я	ok							
level_04	mām	A. sg. от aham	ok							
level_04	gam	идти	flag	unknown			идти:V:-:-			
level_04	duhitar	(f) дочь	flag	phrase,unknown			дочь:S:-:-			
level_04	nāman	(n) имя	flag	phrase,unknown			имя:S:-:-			
level_04	punar	снова	flag	unknown			снова:ADV:-:-			
level_04	pitar	(m) отец	flag	phrase,unknown			отец:S:-:-			
level_04	mātar	(f) мать	ok	phrase		4	мать:S:4:413.00			
level_04	rājan	(m) царь, князь	flag	phrase,unknown		4	царь:S:4:196.75 князь:S:-:-			
level_04	vid	знать, ведать	flag	phrase,unknown		5	знать:V:5:1740.03 ведать:V:-:-			
level_04	vayas	(n) возраст	flag	phrase,unknown			возраст:S:-:-			
level_04	śiras	(n) голова	flag	phrase,unknown			голова:S:-:-			
level_04	ṣaṣ	шесть	ok							
level_04	savitar	(m) солнце	flag	phrase,unknown			солнце:S:-:-			
level_04	-gāminī	идущая	flag	unknown			идти:V:-:-			
level_05	me	D. от aham	ok							
level_05	te	D. от tvam ты	ok	phrase						
level_05	deva	(m) бог	ok	phrase		4	бог:S:4:587.01			
level_05	devī	(f) богиня	flag	phrase,unknown			богиня:S:-:-			
level_05	veda	(m) Веда	flag	phrase,unknown			веда:S:-:-			
level_05	deśa	(m) место, страна	flag	phrase,unknown			место:S:-:- страна:S:-:-			
level_05	he	эй!	ok							
level_05	eva	"частица ""же"""	flag	phrase,unknown			частица:S:-:-			
level_05	etad	это	ok							
level_05	eka	один	flag	unknown			один:A:-:-			
level_05	ekaika	один за другим	flag	phrase,unknown		5	один:A:-:- другой:A:5:2034.50			
level_05	haima	золотой	flag	unknown			золотой:A:-:-			
level_05	mahābhārate	"(L. sg.) в эпосе ""Махабхарата"""	flag	phrase,unknown,name			эпос:S:-:-			
level_05	go	(f) корова	flag	phrase,unknown			корова:S:-:-			
level_05	ghora	ужасный	flag	unknown			ужасный:A:-:-			
level_05	ghoṣa	(m) шум	flag	phrase,unknown			шум:S:-:-			
level_05	loka	(m) мир	ok	phrase		4	мир:S:4:667.85			
level_05	bhojana	(n) пища	flag	phrase,unknown			пища:S:-:-			
level_05	ojas	(n) сила, мощь	flag	phrase,unknown		4	сила:S:4:706.05 мощь:S:-:-			
level_05	odana	(m) рисовая каша	flag	phrase,unknown			рисовый:A:-:- каша:S:-:-			
level_05	tapovana	(n) лес подвижничества	flag	phrase,unknown			лес:S:-:- подвижничество:S:-:-			
level_05	paura	(m) горожанин	flag	phrase,unknown			горожанин:S:-:-			
level_05	pādau	ноги	flag	unknown			нога:S:-:-			
level_05	yauvana	(n) молодость	flag	phrase,unknown			молодость:S:-:-			
level_05	audaka	водяной, водный	flag	phrase,unknown			водяной:S:-:- водный:A:-:-			
level_05	auṣasa	утренний, ранний	flag	phrase,unknown			утренний:A:-:- ранний:A:-:-			
level_05	kṛta	сделанный	ok			4	сделать:V:4:786.76			
level_05	vṛṇomi	я выбираю	flag	phrase,unknown			выбирать:V:-:-			
level_05	śṛṇu	слушай!	flag	unknown			слушать:V:-:-			
level_05	nṛpati	(m) царь	ok	phrase		4	царь:S:4:196.75			
level_05	pṛthivī	(f) земля	ok	phrase		4	земля:S:4:650.73			
level_05	sahasra	тысяча	flag	unknown			тысяча:S:-:-			
level_05	artha	(n) дело, цель	flag	phrase,unknown			дело:S:-:- цель:S:-:-			
level_05	ācārya	(m) учитель, наставник	flag	phrase,unknown			учитель:S:-:- наставник:S:-:-			
level_05	karman	(n) дело	flag	phrase,unknown			дело:S:-:-			
level_05	car	ходить, жить	flag	phrase,unknown			ходить:V:-:- жить:V:-:-			
level_05	caryā	(f) странствие, жизнь	flag	phrase,unknown			странствие:S:-:- жизнь:S:-:-			
level_05	darś	видеть, смотреть	flag	phrase,unknown			видеть:V:-:- смотреть:V:-:-			
level_05	darśana	(n) вид	flag	phrase,unknown			вид:S:-:-			
level_05	dīrgha	длинный	flag	unknown			длинный:A:-:-			
level_05	durgā	"(f) nom. pr. богини ""Дурга"""	flag	phrase,unknown,name			богиня:S:-:-			
level_05	dharma	(m) закон, правило	flag	phrase,unknown			закон:S:-:- правило:S:-:-			
level_05	dhārmika	справедливый	flag	unknown			справедливый:A:-:-			
level_05	nirmala	чистый	flag	unknown			чистый:A:-:-			
level_05	pārvatī	"(f) nom. pr. имя богини ""Парвати"""	flag	phrase,unknown,name			имя:S:-:- богиня:S:-:-			
level_05	varṣa	(m) дождь	flag	phrase,unknown			дождь:S:-:-			
level_05	sarga	(m) отдел, глава	flag	phrase,unknown			отдел:S:-:- глава:S:-:-			
level_05	prajā	(f) народ, население; потомство, дети	flag	phrase,unknown		3	народ:S:-:- население:S:-:- потомство:S:3:13.59 ребёнок:S:4:619.51			
level_05	prathama	первый	flag	unknown			первый:A:-:-			
level_05	śru	слушать	flag	unknown			слушать:V:-:-			
level_05	kutra	куда?	ok							
level_05	sāvitrī	"(f) nom. pr. имя богини ""Савитри"""	flag	phrase,unknown,name			имя:S:-:- богиня:S:-:-			
level_05	priya	милый, приятный	flag	phrase,unknown			милый:A:-:- приятный:A:-:-			
level_05	putra	(m) мальчик, сын	flag	phrase,unknown		4	мальчик:S:-:- сын:S:4:382.88			
level_05	putrī	(f) девочка, дочь	flag	phrase,unknown			девочка:S:-:- дочь:S:-:-			
level_05	nalo	"(m) nom. pr. ""Наль"" (N. sg.)"	ok	phrase,name						
level_05	nāma	по	ok							
level_05	bhra	(m) бродить, ходить	flag	phrase,unknown			бродить:V:-:- ходить:V:-:-			
level_05	netrau	глаза	flag	unknown			глаз:S:-:-			
level_06	kva	где? куда?	flag	phrase,unknown			где:ADV:-:-			
level_06	khyā	называть	flag	unknown			называть:V:-:-			
level_06	jñā	знать	ok			5	знать:V:5:1740.03			
level_06	tvā	"A. от ""ты"""	ok	phrase						
level_06	dva	два	ok							
level_06	plu	плавать	flag	unknown			плавать:V:-:-			
level_06	danta	(m) зуб	flag	phrase,unknown			зуб:S:-:-			
level_06	mnā	указывать	flag	unknown			указывать:V:-:-			
level_06	strī	(f) женщина	flag	phrase,unknown			женщина:S:-:-			
level_06	sthā	стоять, находиться	flag	phrase,unknown			стоять:V:-:- находиться:V:-:-			
level_06	sva	свой	ok			5	свой:A:5:4583.32			
level_06	smi	смеяться	flag	unknown			смеяться:V:-:-			
level_06	hvā	звать	flag	unknown			звать:V:-:-			
level_06	kṣetra	(n)поле	flag	phrase,unknown			поле:S:-:-			
level_06	brāhmaṇa	"(m) варна ""брахман"""	flag	phrase,unknown			варна:S:-:- брахман:S:-:-			
level_06	kṣatriya	"(m) варна ""кшатрий"""	flag	phrase,unknown			варна:S:-:- кшатрий:S:-:-			
level_06	vaiśya	"(m) варна ""вайша"""	flag	phrase,unknown			варна:S:-:- вайша:S:-:-			
level_06	śūdra	"(m) варна ""шудра"""	flag	phrase,unknown			варна:S:-:- шудра:S:-:-			
level_06	indra	"nom. pr. имя Бога ""Индра"""	flag	phrase,unknown,name		4	имя:S:-:- бог:S:4:587.01			
level_06	śiva	"nom. pr. имя Бога ""Шива"""	flag	phrase,unknown,name		4	имя:S:-:- бог:S:4:587.01			
level_06	viṣṇu	"nom. pr. имя Бога ""Вишну"""	flag	phrase,unknown,name		4	имя:S:-:- бог:S:4:587.01			
level_06	lakṣmī	"nom. pr. имя Богини ""Лакшми"""	flag	phrase,unknown,name			имя:S:-:- богиня:S:-:-			
level_06	gaṇeśa	"nom. pr. имя Бога ""Ганеша"""	flag	phrase,unknown,name		4	имя:S:-:- бог:S:4:587.01			
level_06	aśvinau	"nom. pr. имя Богов""Ашвины"""	flag	phrase,unknown,name		4	имя:S:-:- бог:S:4:587.01			
level_06	āsīt	"impf. 3 л. sg. ""был, жил"""	flag	phrase,unknown		6	л:S:-:- быть:V:6:12831.00 жить:V:-:-			
level_06	vīrasenasuta	(m) сын Вирасены	ok	phrase,name		4	сын:S:4:382.88			
level_06	balī	"(m) N. sg. ""могущественный"""	flag	phrase,unknown			могущественный:A:-:-			
level_06	madra	(m) название народа	flag	phrase,unknown			название:S:-:- народ:S:-:-			
level_06	madreṣu	"L. pl. ""среди мадров"""	flag	phrase,unknown			мадрова:S:-:-			
level_06	mahātmā	"N. sg. ""великий духом"""	flag	phrase,unknown		4	великий:A:4:442.42 дух:S:-:-			
level_06	paramadhārmikaḥ	"N. sg. ""очень справедливый"""	flag	phrase,unknown			очень:ADV:-:- справедливый:A:-:-			
level_06	śālva	(m) название народа	flag	phrase,unknown			название:S:-:- народ:S:-:-			
level_06	śālveṣu	"L. pl. ""среди шальвов"""	flag	phrase,unknown			шалев:S:-:-			
level_06	dharmātmā	"N. sg. ""справедливый"""	flag	unknown			справедливый:A:-:-			
level_06	pṛthivīpati	"(m) N. sg. ""владыка земли"""	ok	phrase		3	владыка:S:3:29.85 земля:S:4:650.73			
level_07	putra	(m) мальчик, сын	flag	phrase,unknown		4	мальчик:S:-:- сын:S:4:382.88			
level_07	tad	это	ok							
level_07	dīrgha	длинный	flag	unknown			длинный:A:-:-			
level_07	dvitīya	второй	flag	unknown			второй:A:-:-			
level_07	makṣikā	(f) муха	flag	phrase,unknown			муха:S:-:-			
level_07	pārthiva	(m) царь, властелин земли	flag	phrase,unknown		4	царь:S:4:196.75 властелин:S:-:- земля:S:4:650.73			
level_07	vraṇa	(m) рана	flag	phrase,unknown			рана:S:-:-			
level_07	kalaha	(m,n) ссора,спор	flag	phrase,unknown			ссора:S:-:- спор:S:-:-			
level_07	śānti	покой, тишина	flag	phrase,unknown			покой:S:-:- тишина:S:-:-			
level_07	nīca	низкий, глубокий	flag	phrase,unknown			низкий:A:-:- глубокий:A:-:-			
level_07	sādhú	хороший, благой	flag	phrase,unknown		4	хороший:A:4:555.39 благой:A:-:-			
level_07	iṣ	желать	ok			4	желать:V:4:213.33			
level_07	ca	и	ok							
level_07	na	не, нет	ok	phrase						
level_07	pitar	(m) отец	flag	phrase,unknown			отец:S:-:-			
level_07	mātar	(f) мать	ok	phrase		4	мать:S:4:413.00			
level_07	pitarau	(du) родители	flag	phrase,unknown			родитель:S:-:-			
level_07	duhitar	(f) дочь	flag	phrase,unknown			дочь:S:-:-			
level_07	sūnu	(m) сын	ok	phrase		4	сын:S:4:382.88			
level_07	jñā	знать	ok			5	знать:V:5:1740.03			
level_07	sru	течь	flag	unknown			течь:S:-:-			
level_07	bhū	быть	ok			6	быть:V:6:12831.00			
level_07	námas	поклон, почтение	flag	phrase,unknown			поклон:S:-:- почтение:S:-:-			
level_07	naṭ	танцевать, играть на сцене	flag	phrase,unknown			танцевать:V:-:- играть:V:-:- сцена:S:-:-			
level_07	naṭana	(n) танец	flag	phrase,unknown			танец:S:-:-			
level_07	gaṇ	считать	flag	unknown			считать:V:-:-			
level_07	gaṇaka	(m)математик	flag	phrase,unknown			математик:S:-:-			
level_07	gaṇana	(n) счет	flag	phrase,unknown			счёт:S:-:-			
level_07	kath	I. беседовать с кем либо	flag	phrase,unknown			беседовать:V:-:-			
level_07	kathaka	(m) рассказчик	flag	phrase,unknown			рассказчик:S:-:-			
level_07	kathana	(n) рассказывание	flag	phrase,unknown			рассказывание:S:-:-			
level_07	mahāphala	(n) великий плод, большая награда	flag	phrase,unknown		4	великий:A:4:442.42 плод:S:-:- больший:A:-:- награда:S:-:-			
level_07	mahāpatha	(m) главная или королевская дорога	flag	phrase,unknown			главный:A:-:- королевский:A:-:- дорога:S:-:-			
level_07	mahāratha	(m) большая колесница; перенoc. великий воин,  богатырь	flag	phrase,unknown		4	больший:A:-:- колесница:S:-:- перен:S:-:- великий:A:4:442.42 воин:S:-:- богатырь:S:-:-			
level_07	mahāvana	(n) великий лес	flag	phrase,unknown		4	великий:A:4:442.42 лес:S:-:-			
level_07	mahāgajа	(m) великий слон, один из великих слонов поддерживающих землю	flag	phrase,unknown		4	великий:A:4:442.42 слон:S:-:- один:A:-:- великий:A:4:442.42 слон:S:-:- поддерживать:V:-:- земля:S:4:650.73			
level_07	suputra	(m) выдающийся сын; a. имеющий выдающихся сыновей	flag	phrase,unknown		4	выдающийся:A:-:- сын:S:4:382.88 иметь:V:5:1028.29 выдающийся:A:-:- сын:S:4:382.88			
level_07	suratha	хороший колесничий, имеющий хорошую колесницу	flag	phrase,unknown		4	хороший:A:4:555.39 колесничий:S:-:- иметь:V:5:1028.29 хороший:A:4:555.39 колесница:S:-:-			
level_07	sukathā	хороший рассказчик	flag	phrase,unknown		4	хороший:A:4:555.39 рассказчик:S:-:-			
level_07	sumahant	очень большой	flag	phrase,unknown			очень:ADV:-:- большой:A:-:-			
level_07	sukṛta	хорошо сделанный	flag	phrase,unknown		4	хорошо:ADV:-:- сделать:V:4:786.76			
level_07	gam	идти, ходить	flag	phrase,unknown			идти:V:-:- ходить:V:-:-			
level_07	vac	(f) речь	flag	phrase,unknown			речь:S:-:-			
level_07	as	быть, про­исходить	flag	phrase,unknown		6	быть:V:6:12831.00 исходить:V:-:-			
level_07	kar	делать	flag	unknown			делать:V:-:-			
level_07	śru	слышать,слушать	flag	phrase,unknown			слышать:V:-:- слушать:V:-:-			
level_07	veda	(m) знание	flag	phrase,unknown			знание:S:-:-			
level_07	eka	один, единственный	flag	phrase,unknown			один:A:-:- единственный:A:-:-			
level_07	daśa	десять	ok							
