lemma	nkrya_pos	gloss_rows
бедро	S	32
благородный	A	32
божество	S	32
бродить	V	32
буква	S	32
ветвь	S	32
голод	S	32
горе	S	32
домашний	A	32
железный	A	32
завоёвывать	V	32
заставлять	V	32
злой	A	32
кусок	S	32
малый	A	32
наставник	S	32
неодолимый	A	32
опора	S	32
побуждать	V	32
предмет	S	32
родственник	S	32
связанный	A	32
сжечь	V	32
слабый	A	32
творец	S	32
удовольствие	S	32
шея	S	32
блаженство	S	31
вкус	S	31
даритель	S	31
диск	S	31
известный	A	31
копьё	S	31
ложный	A	31
лучник	S	31
наслаждаться	V	31
обильный	A	31
обязанность	S	31
остриё	S	31
падать	V	31
предводитель	S	31
прежний	A	31
размышлять	V	31
слышать	V	31
сокровище	S	31
возникать	V	30
даровать	V	30
добро	ADV	30
единый	A	30
жестокий	A	30
заставить	V	30
меч	S	30
недруг	S	30
неистовый	A	30
обрести	V	30
общий	A	30
озеро	S	30
око	S	30
платье	S	30
приблизиться	V	30
призыв	S	30
прямой	A	30
сильно	ADV	30
следующий	A	30
тонкий	A	30
тёмный	A	30
уничтожать	V	30
юг	S	30
грубый	A	29
держать	V	29
достижение	S	29
дружба	S	29
дыхание	S	29
защищать	V	29
неразумный	A	29
опасность	S	29
повозка	S	29
повсюду	ADV	29
поэт	S	29
прославить	V	29
пыль	S	29
раковина	S	29
скорбь	S	29
служить	V	29
соединение	S	29
сонм	S	29
сострадание	S	29
спать	V	29
чудесный	A	29
возглас	S	28
всякий	A	28
громко	ADV	28
губа	S	28
далёкий	A	28
длинный	A	28
книга	S	28
колчан	S	28
красавица	S	28
мужественный	A	28
палица	S	28
покинуть	V	28
положить	V	28
постичь	V	28
превосходить	V	28
принимать	V	28
просить	V	28
проявление	S	28
рождаться	V	28
сит	S	28
трудно	ADV	28
утренний	A	28
яркий	A	28
браслет	S	27
вверх	ADV	27
ведать	V	27
взгляд	S	27
вкушать	V	27
воплотить	V	27
вызывающий	A	27
гирлянда	S	27
громкий	A	27
гун	S	27
злодей	S	27
играть	V	27
имущество	S	27
каста	S	27
каша	S	27
лотосовый	A	27
мучить	V	27
напиток	S	27
нести	V	27
остаться	V	27
певец	S	27
питаться	V	27
происходить	V	27
процветание	S	27
пчела	S	27
свойство	S	27
сложить	V	27
сосредоточить	V	27
старость	S	27
старший	A	27
тревога	S	27
тьма	S	27
учение	S	27
цветущий	A	27
бегство	S	26
бедствие	S	26
благополучие	S	26
вернуться	V	26
вечный	A	26
воздух	S	26
голос	S	26
гром	S	26
дева	S	26
древний	A	26
е	S	26
заслуживать	V	26
край	S	26
крепкий	A	26
лоно	S	26
море	S	26
мчаться	V	26
наполнить	V	26
несчастие	S	26
несчастный	A	26
объект	S	26
объятие	S	26
освободить	V	26
основание	S	26
отважный	A	26
отправиться	V	26
подниматься	V	26
подобать	V	26
получать	V	26
пора	S	26
почесть	S	26
признак	S	26
слушать	V	26
сок	S	26
солома	S	26
тройной	A	26
укрепить	V	26
ям	S	26
ведущий	A	25
весьма	ADV	25
взойти	V	25
горный	A	25
деятельный	A	25
ладонь	S	25
мужчина	S	25
название	S	25
нос	S	25
обращаться	V	25
отвага	S	25
победитель	S	25
познать	V	25
послушный	A	25
почитание	S	25
ранний	A	25
расти	V	25
роща	S	25
смысл	S	25
соблюдать	V	25
собраться	V	25
совершенство	S	25
создавать	V	25
спасти	V	25
спина	S	25
стоящий	A	25
судьба	S	25
суровый	A	25
схватить	V	25
тетива	S	25
течение	S	25
толпа	S	25
услышать	V	25
усталость	S	25
ученик	S	25
учитель	S	25
хвост	S	25
человеческий	A	25
ярость	S	25
вера	S	24
возбудить	V	24
волна	S	24
волосок	S	24
враждебный	A	24
дышло	S	24
лететь	V	24
могущество	S	24
намерение	S	24
невредимый	A	24
носитель	S	24
обитать	V	24
обнять	V	24
одетый	A	24
отшельник	S	24
очищение	S	24
послать	V	24
поставить	V	24
потерять	V	24
похитить	V	24
предписать	V	24
приближаться	V	24
пыл	S	24
различный	A	24
рис	S	24
святой	A	24
славный	A	24
смешанный	A	24
создатель	S	24
страдать	V	24
телёнок	S	24
тиртх	S	24
улыбка	S	24
хозяин	S	24
шакал	S	24
явиться	V	24
безупречный	A	23
бесплодный	A	23
боль	S	23
вино	S	23
ворота	S	23
впереди	ADV	23
выдающийся	A	23
доставлять	V	23
издавать	V	23
иной	A	23
крепость	S	23
ливень	S	23
мантра	S	23
мягкий	A	23
непобедимый	A	23
неподвижный	A	23
облачить	V	23
одарённый	A	23
очищать	V	23
пещера	S	23
плечо	S	23
побуждение	S	23
подвижничество	S	23
полностью	ADV	23
последовать	V	23
правда	S	23
предаваться	V	23
преисполненный	A	23
призывать	V	23
приказ	S	23
пройти	V	23
рассказать	V	23
риш	S	23
рыба	S	23
слух	S	23
сокрушить	V	23
стадо	S	23
стремительно	ADV	23
трезубец	S	23
труд	S	23
удовлетворить	V	23
ярко	ADV	23
бесконечный	A	22
бросить	V	22
вещь	S	22
возбуждать	V	22
глупый	A	22
гуру	S	22
дарение	S	22
добыть	V	22
доспех	S	22
житель	S	22
загон	S	22
звать	V	22
изгнание	S	22
колесничий	S	22
ловкость	S	22
назад	ADV	22
нечистый	A	22
оставлять	V	22
отверстие	S	22
пастух	S	22
пасть	V	22
поведать	V	22
посвятить	V	22
рассказывать	V	22
рёв	S	22
сеть	S	22
сжигать	V	22
совет	S	22
способ	S	22
справедливый	A	22
становиться	V	22
старый	A	22
стоять	V	22
час	S	22
элемент	S	22
являться	V	22
антилопа	S	21
брать	V	21
верховный	A	21
войти	V	21
воплощение	S	21
второй	A	21
вызвать	V	21
граница	S	21
девушка	S	21
доблесть	S	21
добыча	S	21
долго	ADV	21
забота	S	21
значение	S	21
исход	S	21
йог	S	21
коренья	S	21
крыло	S	21
лист	S	21
мальчик	S	21
мгновение	S	21
милый	A	21
мужество	S	21
называть	V	21
найти	V	21
неизмеримый	A	21
обиталище	S	21
обратиться	V	21
освободиться	V	21
печаль	S	21
поражение	S	21
почтительно	ADV	21
право	S	21
прекращение	S	21
прибежище	S	21
принадлежащий	A	21
приношение	S	21
приход	S	21
рать	S	21
реветь	V	21
сладкий	A	21
сотворить	V	21
столб	S	21
стыд	S	21
тайна	S	21
там	ADV	21
удерживать	V	21
уносить	V	21
чтить	V	21
алтарь	S	20
больной	A	20
взор	S	20
возвращение	S	20
возлюбить	V	20
восхвалять	V	20
выжать	V	20
глядеть	V	20
головной	A	20
дарить	V	20
деревня	S	20
добро	S	20
добывать	V	20
домохозяин	S	20
женский	A	20
запах	S	20
искусить	V	20
искусство	S	20
касаться	V	20
лежать	V	20
лунный	A	20
направить	V	20
натянуть	V	20
начать	V	20
наш	A	20
нежный	A	20
основа	S	20
память	S	20
племя	S	20
побеждать	V	20
пожелать	V	20
поиск	S	20
поклонение	S	20
политика	S	20
потеря	S	20
праведный	A	20
простор	S	20
разгневать	V	20
ринуться	V	20
середина	S	20
скрытый	A	20
случай	S	20
сома	S	20
соперник	S	20
союзник	S	20
спешить	V	20
стебель	S	20
странствовать	V	20
стремление	S	20
трепетать	V	20
утратить	V	20
уходить	V	20
учёный	S	20
чистота	S	20
шудра	S	20
безгрешный	A	19
беседа	S	19
бровь	S	19
будущее	S	19
вызывать	V	19
гандхарвы	S	19
гибнуть	V	19
драгоценность	S	19
единственный	A	19
жар	S	19
запрячь	V	19
знаменитый	A	19
изображение	S	19
испытывать	V	19
капля	S	19
клык	S	19
лиана	S	19
мрак	S	19
наказание	S	19
наполнять	V	19
наставление	S	19
невидимый	A	19
неприступный	A	19
никогда	ADV	19
обитатель	S	19
обод	S	19
оглашать	V	19
остановить	V	19
отвечать	V	19
петь	V	19
поддержка	S	19
подношение	S	19
поклоняться	V	19
порицание	S	19
порицать	V	19
править	V	19
превосходство	S	19
превосходящий	A	19
предназначить	V	19
пренебрегать	V	19
разбитый	A	19
рыжий	A	19
рядом	ADV	19
сдерживать	V	19
след	S	19
слишком	ADV	19
совершенный	A	19
спутник	S	19
стараться	V	19
считать	V	19
творение	S	19
теперь	ADV	19
тростник	S	19
убитый	A	19
ударить	V	19
удержать	V	19
успокоить	V	19
утром	ADV	19
шерсть	S	19
боевой	A	18
брак	S	18
варна	S	18
видение	S	18
владение	S	18
возвратиться	V	18
возникнуть	V	18
говорящий	A	18
гордость	S	18
дверь	S	18
доверие	S	18
жертвователь	S	18
жертвовать	V	18
зависеть	V	18
изучать	V	18
изучение	S	18
исчезать	V	18
круг	S	18
начинать	V	18
неудача	S	18
нрав	S	18
озарять	V	18
окропить	V	18
отличный	A	18
отряд	S	18
очиститься	V	18
плуг	S	18
победоносный	A	18
подвижник	S	18
пожирать	V	18
помощник	S	18
предписание	S	18
произносить	V	18
радеть	V	18
разлука	S	18
рассечь	V	18
родитель	S	18
свирепый	A	18
северный	A	18
смертный	A	18
снова	ADV	18
собираться	V	18
состязание	S	18
способность	S	18
справедливость	S	18
спросить	V	18
срок	S	18
стража	S	18
существование	S	18
существовать	V	18
тайный	A	18
так	ADV	18
творить	V	18
убежище	S	18
умный	A	18
усесться	V	18
усопший	A	18
устремиться	V	18
хранить	V	18
чудо	S	18
яма	S	18
бессмертие	S	17
благожелательный	A	17
благоприятный	A	17
блистательный	A	17
бремя	S	17
вечер	S	17
вздыхать	V	17
владетель	S	17
вместилище	S	17
внешний	A	17
внимательный	A	17
военачальник	S	17
вор	S	17
воспринимать	V	17
восхвалить	V	17
восход	S	17
врата	S	17
выпустить	V	17
вырвать	V	17
гость	S	17
грохот	S	17
держаться	V	17
дым	S	17
живот	S	17
жёлтый	A	17
заключить	V	17
зал	S	17
иллюзия	S	17
карма	S	17
колено	S	17
летать	V	17
любовный	A	17
лёгкий	A	17
мазь	S	17
неутомимый	A	17
ничего	ADV	17
ноготь	S	17
ночью	ADV	17
одолеть	V	17
освещать	V	17
оставаться	V	17
осыпать	V	17
ответ	S	17
ответить	V	17
отвратить	V	17
отпустить	V	17
отречение	S	17
панцирь	S	17
пастбище	S	17
петля	S	17
повергнуть	V	17
погонять	V	17
погрузиться	V	17
покровитель	S	17
помочь	V	17
порыв	S	17
почтение	S	17
преследовать	V	17
преходящий	A	17
причинять	V	17
прославлять	V	17
пьянить	V	17
р	S	17
раздел	S	17
рог	S	17
роды	S	17
служанка	S	17
смеяться	V	17
согласие	S	17
созвездие	S	17
соответствие	S	17
спица	S	17
строй	S	17
терпеть	V	17
тогда	ADV	17
удовлетворение	S	17
устать	V	17
учить	V	17
ходить	V	17
царевич	S	17
эпос	S	17
ядовитый	A	17
барабан	S	16
везти	V	16
вернуть	V	16
воздушный	A	16
встать	V	16
выполнять	V	16
выступить	V	16
глупец	S	16
град	S	16
грязь	S	16
жизненный	A	16
завоеватель	S	16
зажечь	V	16
заполнить	V	16
заря	S	16
защитить	V	16
измученный	A	16
исчезнуть	V	16
коса	S	16
крепко	ADV	16
маленький	A	16
милостивый	A	16
напасть	V	16
недостаток	S	16
недостойный	A	16
непоколебимый	A	16
нить	S	16
обида	S	16
общение	S	16
обычай	S	16
огненный	A	16
окутать	V	16
отчаяние	S	16
поднимать	V	16
подойти	V	16
покорить	V	16
постоянный	A	16
поход	S	16
правитель	S	16
предаться	V	16
провести	V	16
пустить	V	16
работа	S	16
рассказ	S	16
светильник	S	16
следствие	S	16
собственность	S	16
сомневаться	V	16
сотрясать	V	16
сочиться	V	16
спор	S	16
ставка	S	16
стих	S	16
сухой	A	16
сущий	A	16
текущий	A	16
телесный	A	16
тень	S	16
третий	A	16
трон	S	16
удручённый	A	16
улица	S	16
упасть	V	16
хвалебный	A	16
хижина	S	16
челюсть	S	16
число	S	16
ясный	A	16
боец	S	15
бросать	V	15
бросаться	V	15
велеть	V	15
видимый	A	15
властвовать	V	15
встреча	S	15
входить	V	15
выжимать	V	15
голодный	A	15
гордыня	S	15
демон	S	15
доблестный	A	15
домогаться	V	15
дорогой	A	15
дрожь	S	15
дротик	S	15
дышать	V	15
жезл	S	15
железо	S	15
замешательство	S	15
захват	S	15
захватить	V	15
здоровье	S	15
золотистый	A	15
избавить	V	15
коснуться	V	15
л	S	15
лишить	V	15
мадрова	S	15
многочисленный	A	15
назва	S	15
нападать	V	15
настоящий	A	15
наступление	S	15
неотразимый	A	15
неприятный	A	15
нижний	A	15
обмануть	V	15
обретение	S	15
ожидать	V	15
относиться	V	15
отнять	V	15
охрана	S	15
пепел	S	15
пересекать	V	15
погибнуть	V	15
поглотить	V	15
погребальный	A	15
подверженный	A	15
подумать	V	15
подходящий	A	15
познавать	V	15
покрывать	V	15
польза	S	15
помнить	V	15
породить	V	15
пост	S	15
похожий	A	15
правдивый	A	15
превзойти	V	15
присутствие	S	15
продолжатель	S	15
противник	S	15
проявлять	V	15
прямо	ADV	15
пёстрый	A	15
разделить	V	15
рана	S	15
рассвет	S	15
сад	S	15
север	S	15
серьга	S	15
склониться	V	15
служба	S	15
служение	S	15
смирение	S	15
собрать	V	15
соединить	V	15
сойтись	V	15
стойкий	A	15
стрекало	S	15
тайно	ADV	15
топор	S	15
ужас	S	15
уза	S	15
уничтожение	S	15
утроба	S	15
хотара	S	15
царица	S	15
чтение	S	15
шаг	S	15
шкура	S	15
амрита	S	14
аскеза	S	14
аскет	S	14
бездетный	A	14
бивень	S	14
варёный	A	14
вестник	S	14
весёлый	A	14
вечность	S	14
влечение	S	14
вождь	S	14
возраст	S	14
выжимание	S	14
вырасти	V	14
высоко	ADV	14
выходить	V	14
горшок	S	14
двойственность	S	14
дикий	A	14
едва	ADV	14
заботиться	V	14
залить	V	14
заслуга	S	14
захватывать	V	14
злоумышленник	S	14
изменение	S	14
ищущий	A	14
казаться	V	14
колдун	S	14
костёр	S	14
кувшин	S	14
любой	A	14
медовый	A	14
мирской	A	14
надельный	A	14
нарушение	S	14
невозможно	ADV	14
недоступный	A	14
неколебимый	A	14
ненависть	S	14
обещание	S	14
обойти	V	14
обрадовать	V	14
одинаковый	A	14
олень	S	14
опираться	V	14
основываться	V	14
особый	A	14
отвергнуть	V	14
охотник	S	14
ошибка	S	14
палка	S	14
подкрепление	S	14
пожиратель	S	14
покрывало	S	14
полдень	S	14
полководец	S	14
помогать	V	14
понуждать	V	14
попасть	V	14
постижение	S	14
почёт	S	14
преодолевать	V	14
преодолеть	V	14
призвать	V	14
пробуждение	S	14
прогнать	V	14
проникнуть	V	14
разговор	S	14
размер	S	14
размышление	S	14
разнообразный	A	14
разрушитель	S	14
разумный	A	14
распространяться	V	14
растение	S	14
сандал	S	14
связывать	V	14
старший	S	14
столица	S	14
стройный	A	14
схватка	S	14
танматра	S	14
течь	V	14
трепет	S	14
увеличивать	V	14
укрытие	S	14
упряжка	S	14
услада	S	14
устремить	V	14
ущерб	S	14
ход	S	14
холод	S	14
честь	S	14
шестой	A	14
якшма	S	14
бал	S	13
бедный	A	13
безумный	A	13
бок	S	13
бояться	V	13
быстрота	S	13
венка	S	13
верёвка	S	13
владелец	S	13
внимание	S	13
вознаграждение	S	13
война	S	13
волнение	S	13
выход	S	13
глина	S	13
гореть	V	13
горожанин	S	13
государь	S	13
греховный	A	13
густой	A	13
далее	ADV	13
жара	S	13
жемчужина	S	13
заострить	V	13
затем	ADV	13
земной	A	13
избавление	S	13
избегать	V	13
издалёка	ADV	13
исходить	V	13
каковой	A	13
колдовство	S	13
колебаться	V	13
колесничный	A	13
кричать	V	13
куш	S	13
лоб	S	13
ложка	S	13
любить	V	13
мнение	S	13
молочный	A	13
нарушать	V	13
наряд	S	13
необходимый	A	13
низкорождённый	A	13
область	S	13
обстоятельство	S	13
овца	S	13
оскорбить	V	13
оскорбление	S	13
основать	V	13
отдохнуть	V	13
отправляться	V	13
отпрыск	S	13
отражать	V	13
павлин	S	13
питать	V	13
показывать	V	13
поклон	S	13
полнота	S	13
понимание	S	13
поразмыслить	V	13
почему	ADV	13
предшествовать	V	13
презирать	V	13
презрение	S	13
приказать	V	13
пример	S	13
приобретение	S	13
произвести	V	13
произойти	V	13
процветать	V	13
пятно	S	13
рабыня	S	13
раздача	S	13
разрушать	V	13
ранить	V	13
родный	A	13
рыдать	V	13
сбросить	V	13
свита	S	13
седьмой	A	13
сейчас	ADV	13
случиться	V	13
солнечный	A	13
солёный	A	13
сохранить	V	13
средний	A	13
стопа	S	13
ступать	V	13
танец	S	13
терзать	V	13
тяжкий	A	13
уводить	V	13
умереть	V	13
уста	S	13
уход	S	13
участок	S	13
четвёртый	A	13
чрево	S	13
яйцо	S	13
асура	S	12
асуровый	A	12
бить	V	12
благословение	S	12
брань	S	12
бутон	S	12
бычий	A	12
ваджра	S	12
вдохновенный	A	12
век	S	12
венок	S	12
вершитель	S	12
вина	S	12
вкушение	S	12
вновь	ADV	12
водоворот	S	12
вопль	S	12
восьмой	A	12
всадник	S	12
всеобщий	A	12
гневный	A	12
готовить	V	12
дальний	A	12
деревянный	A	12
дерзкий	A	12
доиться	V	12
доставить	V	12
дрон	S	12
единодушный	A	12
ждать	V	12
заклинание	S	12
захватчик	S	12
звучащий	A	12
зима	S	12
злобный	A	12
змеиный	A	12
зонт	S	12
извлечь	V	12
изобиловать	V	12
изумление	S	12
искусно	ADV	12
исполнитель	S	12
истинно	ADV	12
йоджан	S	12
кожа	S	12
коза	S	12
козёл	S	12
колодец	S	12
кольцо	S	12
кукушка	S	12
ласковый	A	12
лепёшка	S	12
лучезарный	A	12
мастер	S	12
миг	S	12
музыка	S	12
набухнуть	V	12
насилие	S	12
нектар	S	12
обращать	V	12
ожерелие	S	12
осень	S	12
оскорблять	V	12
осуждать	V	12
осёл	S	12
отбросить	V	12
отличаться	V	12
отметить	V	12
отношение	S	12
отточить	V	12
охватывать	V	12
пандав	S	12
пара	S	12
писание	S	12
плоть	S	12
плясать	V	12
побег	S	12
повелеть	V	12
повод	S	12
подавить	V	12
пожертвовать	V	12
покаяние	S	12
покои	S	12
покорять	V	12
полагаться	V	12
полёт	S	12
помазание	S	12
помысел	S	12
порождать	V	12
порок	S	12
посвящение	S	12
постигать	V	12
построить	V	12
пот	S	12
потом	ADV	12
похищение	S	12
поэтический	A	12
появляться	V	12
пояс	S	12
правый	A	12
пребывание	S	12
привезти	V	12
прислуживать	V	12
причинить	V	12
пробудить	V	12
простираться	V	12
просьба	S	12
прохладный	A	12
разбить	V	12
разъярённый	A	12
рассеять	V	12
решительный	A	12
родство	S	12
рост	S	12
ряд	S	12
связанный	V	12
связать	V	12
сдержать	V	12
скакун	S	12
сладкое	S	12
смешение	S	12
собака	S	12
собирать	V	12
содержать	V	12
сокровищница	S	12
союз	S	12
спасать	V	12
спаситель	S	12
сразиться	V	12
стена	S	12
стоить	V	12
сторонник	S	12
сюда	ADV	12
туда	ADV	12
угрожать	V	12
умеренный	A	12
установленный	A	12
хватать	V	12
храм	S	12
царевна	S	12
целый	A	12
читать	V	12
широко	ADV	12
ад	S	11
аскетический	A	11
безлюдный	A	11
безначальный	A	11
безоружный	A	11
бесчестие	S	11
благовоние	S	11
благодатный	A	11
близость	S	11
бодрствовать	V	11
буланый	A	11
важный	A	11
вдохновлять	V	11
великолепие	S	11
вздох	S	11
вкусный	A	11
влага	S	11
водный	A	11
ворона	S	11
восхождение	S	11
вредить	V	11
вспышка	S	11
вспять	ADV	11
вступать	V	11
всюду	ADV	11
выбирать	V	11
выглядеть	V	11
гнать	V	11
горький	A	11
грохотать	V	11
двуногий	A	11
дед	S	11
держатель	S	11
диадема	S	11
дозволение	S	11
дойный	A	11
достояние	S	11
дрова	S	11
душевный	A	11
жадность	S	11
жемчуг	S	11
журавль	S	11
зависть	S	11
завоевать	V	11
замечать	V	11
замуж	ADV	11
запад	S	11
западный	A	11
запрягать	V	11
зародыш	S	11
затрубить	V	11
избранный	A	11
изначальный	A	11
искупление	S	11
кал	S	11
канва	S	11
клич	S	11
кобылица	S	11
кормить	V	11
коровий	A	11
крайний	A	11
лихорадка	S	11
лодка	S	11
локон	S	11
лыко	S	11
любитель	S	11
лягушка	S	11
м	S	11
мужской	A	11
мул	S	11
муравей	S	11
мучение	S	11
наблюдать	V	11
навстречу	ADV	11
нагой	A	11
наделять	V	11
надеть	V	11
надлежащий	A	11
направо	ADV	11
нарушить	V	11
небытие	S	11
непроявленный	A	11
ночной	A	11
обретать	V	11
объявить	V	11
овладеть	V	11
одеяние	S	11
однажды	ADV	11
ожидание	S	11
оказаться	V	11
опровержение	S	11
опьянение	S	11
опьянить	V	11
опьянять	V	11
орган	S	11
отвращение	S	11
отдых	S	11
открыть	V	11
откуда	ADV	11
отразить	V	11
отрицать	V	11
пальма	S	11
пасть	S	11
переправиться	V	11
пехотинец	S	11
питание	S	11
планета	S	11
повелевать	V	11
