slug,meta_title,meta_description
rannie-sanskritskie-rukopisi-2026,Ранние санскритские рукописи — 2026,"Ранние санскритские рукописи — 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
kasmirskii-sivaizm-cast-2-2026,"Кашмирский шиваизм, 2 поток — живой","Кашмирский шиваизм, 2 поток — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
razbor-xanuman-calisy-2026,"Разбор Хануман Чалисы, 2026 — запись","Разбор Хануман Чалисы, 2026 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
letnii-intensiv-hindi-2026,Летний интенсив хинди — 2026,"Летний интенсив хинди — 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
ioga-sutry-patandzali-2-potok-2025-2026,"Йога-сутры, 2 поток 2025 — запись","Йога-сутры, 2 поток 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
morfologiia-zalizniaka-2025-2026,Морфология Зализняка — живой,"Морфология Зализняка — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
izbrannye-glavy-iz-bxagavadgity-3-cikl,"Главы Гиты, цикл 3 — запись","Главы Гиты, цикл 3 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
osoznannye-snovideniia-nidra,Осознанные сновидения — нидра,"Осознанные сновидения — нидра. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-dxanvantari-2024,"Гимн Дханвантари, 2024 — запись","Гимн Дханвантари, 2024 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
azy-sanskrita-v-zapisi,Азы напевного санскрита — запись,"Азы напевного санскрита — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
osnovy-aiurvedy-ocno,Основы аюрведы — запись,"Основы аюрведы — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
tradicii-tolkovaniia-upanisad-1-potok-2025,"Толкование упанишад, 1 поток","Толкование упанишад, 1 поток. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
astronomiia-dlia-astrologov-1-potok-vesna-2025,"Астрономия, 1 поток 2025 — запись","Астрономия, 1 поток 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
skazaniia-o-nale,Сказание о Нале — живой курс,"Сказание о Нале — живой курс. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
1000-imen-visnu,1000 имён Вишну — запись,"1000 имён Вишну — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
sintaksis-sanskrita,Синтаксис санскрита — живой курс,"Синтаксис санскрита — живой курс. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
prodlenka-sanskrita-2026,"Продлёнка санскрита, 2026 — живой","Продлёнка санскрита, 2026 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
lingvistika-v-zadacax-s-elenoi-trefilovoi-2026,Лингвистика в задачах — живой,"Лингвистика в задачах — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
gimn-abxinavagupty-2026,"Гимн Бхайравы, 2026 — запись","Гимн Бхайравы, 2026 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
gimn-bxagavadgity-2026-13-cast,"Гимн Гиты, ч.1 2026 — запись","Гимн Гиты, ч.1 2026 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
deti-mladsaia-gruppa-2024,"Дети, младшая группа 2024 — запись","Дети, младшая группа 2024 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
gimn-suri-2026,"Гимн 108 имён Сурьи, 2026 — запись","Гимн 108 имён Сурьи, 2026 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-durge-2023-v-zapisi,"Гимн Дурге, 2023 — запись","Гимн Дурге, 2023 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-bxagavadgita-2ch-2026,"Гимн Гиты, ч.2 2026 — живой","Гимн Гиты, ч.2 2026 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr55,Кочергина гр.55 — живой,"Кочергина гр.55 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr54,Кочергина гр.54 — живой,"Кочергина гр.54 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-guru-stotram-2025,"Гуру-стотрам, 2025 — запись","Гуру-стотрам, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
prodlenka-sanskrita-2025,"Продлёнка санскрита, 2025 — запись","Продлёнка санскрита, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-kali-2025,"Гимн Кали, 2025 — запись","Гимн Кали, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-gaiatri-2025,"Гимн Гаятри, 2025 — запись","Гимн Гаятри, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
ezednevnye-molitvy-s-usei-sankoi-2-e-v-zapisi,"Молитвы с Ушей, ч.2 — запись","Молитвы с Ушей, ч.2 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-sive-2025,"Гимн Шиве, 2025 — запись","Гимн Шиве, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-ganese-2024,"Гимн Ганеше, 2024 — запись","Гимн Ганеше, 2024 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-navagraxi-v-zapisi,"Гимн Наваграхи, 2023 — запись","Гимн Наваграхи, 2023 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
ezednevnye-molitvy-s-usei-sankoi-3-e-v-zapisi,"Молитвы с Ушей, ч.3 — запись","Молитвы с Ушей, ч.3 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
ezednevnye-molitvy-s-usei-sankoi-1-e-v-zapisi,"Молитвы с Ушей, ч.1 — запись","Молитвы с Ушей, ч.1 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-sani-v-zapisi,"Гимн Шани, 2023 — запись","Гимн Шани, 2023 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-sivy-2022-v-zapisi,"Гимн Шивы, 2022 — запись","Гимн Шивы, 2022 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-narasimxe-2023,"Гимн Нарасимхе, 2023 — запись","Гимн Нарасимхе, 2023 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
vediiskaia-literatura-2026,"Ведийская литература, 2026 — живой","Ведийская литература, 2026 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
sanskritskaia-literatura-2025,"Санскритская литература, 2025 — запись","Санскритская литература, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
medlennoe-ctenie-ioga-vasistxi,Медленное чтение Йога-васиштхи,"Медленное чтение Йога-васиштхи. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
deti-2025,"Детский санскрит, 2025 — запись","Детский санскрит, 2025 — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-sutr-patandzali-vskr-10-2026,"Гимн сутр, вс 10:00 — 2026","Гимн сутр, вс 10:00 — 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
napevnyi-sanskrit-gimn-sutr-patandzali-vt-15-2026,"Гимн сутр, вт 15:00 — 2026","Гимн сутр, вт 15:00 — 2026. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr57,Кочергина гр.57 — живой,"Кочергина гр.57 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
grammatika-po-kocerginoi-gr56,Кочергина гр.56 — живой,"Кочергина гр.56 — живой. Живой курс ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
elektronnyi-emeno,Электронный Эмено — запись,"Электронный Эмено — запись. Запись занятий ОРС: 21+ лет сообществу, 5 000+ учеников, группы 5–9 человек."
